Node_num	Node_id	Node_type	Node_label
732	D01017	drug	0
733	D01019	drug	0
734	D01020	drug	0
735	D01021	drug	0
736	D01022	drug	0
737	D01023	drug	0
738	D01024	drug	0
739	D01025	drug	0
740	D01026	drug	0
741	D01028	drug	0
742	D01029	drug	0
743	D01041	drug	0
744	D01042	drug	0
745	D01044	drug	0
746	D01047	drug	0
747	D01048	drug	0
748	D01049	drug	0
749	D01051	drug	0
750	D01052	drug	0
751	D01053	drug	0
752	D01054	drug	0
753	D01055	drug	0
754	D01056	drug	0
755	D01057	drug	0
756	D01061	drug	0
757	D01063	drug	0
758	D01064	drug	0
759	D01068	drug	0
760	D01069	drug	0
761	D01070	drug	0
762	D01071	drug	0
763	D01072	drug	0
764	D01073	drug	0
765	D01074	drug	0
766	D01075	drug	0
767	D01076	drug	0
768	D01077	drug	0
769	D01078	drug	0
770	D01079	drug	0
771	D01090	drug	0
772	D01092	drug	0
773	D01093	drug	0
774	D01096	drug	0
775	D01097	drug	0
776	D01098	drug	0
777	D01101	drug	0
778	D01103	drug	0
779	D01104	drug	0
780	D01105	drug	0
781	D01107	drug	0
782	D01111	drug	0
783	D01112	drug	0
784	D01113	drug	0
785	D01115	drug	0
786	D01117	drug	0
787	D01118	drug	0
788	D01119	drug	0
789	D01122	drug	0
790	D01123	drug	0
791	D01125	drug	0
792	D01128	drug	0
793	D01130	drug	0
794	D01131	drug	0
795	D01132	drug	0
796	D01133	drug	0
797	D01134	drug	0
798	D01136	drug	0
799	D01141	drug	0
800	D01142	drug	0
801	D01143	drug	0
802	D01144	drug	0
803	D01145	drug	0
804	D01146	drug	0
805	D01147	drug	0
806	D01148	drug	0
807	D01149	drug	0
808	D01150	drug	0
809	D01151	drug	0
810	D01152	drug	0
811	D01153	drug	0
812	D01155	drug	0
813	D01157	drug	0
814	D01159	drug	0
815	D01160	drug	0
816	D01161	drug	0
817	D01163	drug	0
818	D01164	drug	0
819	D01165	drug	0
820	D01171	drug	0
821	D01172	drug	0
822	D01173	drug	0
823	D01174	drug	0
824	D01175	drug	0
825	D01176	drug	0
826	D01177	drug	0
827	D01178	drug	0
828	D01179	drug	0
829	D01180	drug	0
830	D01182	drug	0
831	D01183	drug	0
832	D01187	drug	0
833	D01188	drug	0
834	D01192	drug	0
835	D01193	drug	0
836	D01196	drug	0
837	D01198	drug	0
838	D01199	drug	0
839	D01201	drug	0
840	D01202	drug	0
841	D01204	drug	0
842	D01205	drug	0
843	D01206	drug	0
844	D01207	drug	0
845	D01208	drug	0
846	D01209	drug	0
847	D01213	drug	0
848	D01214	drug	0
849	D01216	drug	0
850	D01217	drug	0
851	D01220	drug	0
852	D01223	drug	0
853	D01224	drug	0
854	D01226	drug	0
855	D01227	drug	0
856	D01228	drug	0
857	D01229	drug	0
858	D01230	drug	0
859	D01231	drug	0
860	D01235	drug	0
861	D01236	drug	0
862	D01238	drug	0
863	D01239	drug	0
864	D01240	drug	0
865	D01241	drug	0
866	D01242	drug	0
867	D01243	drug	0
868	D01244	drug	0
869	D01245	drug	0
870	D01246	drug	0
871	D01249	drug	0
872	D01251	drug	0
873	D01252	drug	0
874	D01253	drug	0
875	D01254	drug	0
876	D01259	drug	0
877	D01262	drug	0
878	D01263	drug	0
879	D01264	drug	0
880	D01265	drug	0
881	D01266	drug	0
882	D01268	drug	0
883	D01269	drug	0
884	D01271	drug	0
885	D01272	drug	0
886	D01273	drug	0
887	D01274	drug	0
888	D01275	drug	0
889	D01276	drug	0
890	D01277	drug	0
891	D01278	drug	0
892	D01279	drug	0
893	D01280	drug	0
894	D01283	drug	0
895	D01285	drug	0
896	D01286	drug	0
897	D01287	drug	0
898	D01290	drug	0
899	D01292	drug	0
900	D01293	drug	0
901	D01294	drug	0
902	D01295	drug	0
903	D01296	drug	0
904	D01297	drug	0
905	D01299	drug	0
906	D01301	drug	0
907	D01303	drug	0
908	D01304	drug	0
909	D01307	drug	0
910	D01308	drug	0
911	D01309	drug	0
912	D01310	drug	0
913	D01315	drug	0
914	D01316	drug	0
915	D01317	drug	0
916	D01318	drug	0
917	D01321	drug	0
918	D01322	drug	0
919	D01323	drug	0
920	D01324	drug	0
921	D01325	drug	0
922	D01326	drug	0
923	D01327	drug	0
924	D01328	drug	0
925	D01329	drug	0
926	D01332	drug	0
927	D01333	drug	0
928	D01334	drug	0
929	D01336	drug	0
930	D01337	drug	0
931	D01339	drug	0
932	D01340	drug	0
933	D01343	drug	0
934	D01344	drug	0
935	D01347	drug	0
936	D01348	drug	0
937	D01349	drug	0
938	D01350	drug	0
939	D01352	drug	0
940	D01354	drug	0
941	D01355	drug	0
942	D01356	drug	0
943	D01357	drug	0
944	D01358	drug	0
945	D01359	drug	0
946	D01360	drug	0
947	D01361	drug	0
948	D01362	drug	0
949	D01366	drug	0
950	D01367	drug	0
951	D01368	drug	0
952	D01369	drug	0
953	D01370	drug	0
954	D01372	drug	0
955	D01373	drug	0
956	D01374	drug	0
957	D01375	drug	0
958	D01377	drug	0
959	D01379	drug	0
960	D01382	drug	0
961	D01383	drug	0
962	D01384	drug	0
963	D01385	drug	0
964	D01386	drug	0
965	D01387	drug	0
966	D01390	drug	0
967	D01392	drug	0
968	D01393	drug	0
969	D01397	drug	0
970	D01399	drug	0
971	D01401	drug	0
972	D01402	drug	0
973	D01404	drug	0
974	D01407	drug	0
975	D01408	drug	0
976	D01410	drug	0
977	D01412	drug	0
978	D01413	drug	0
979	D01414	drug	0
980	D01415	drug	0
981	D01418	drug	0
982	D01425	drug	0
983	D01428	drug	0
984	D01429	drug	0
985	D01431	drug	0
986	D01432	drug	0
987	D01434	drug	0
988	D01435	drug	0
989	D01441	drug	0
990	D01442	drug	0
991	D01444	drug	0
992	D01445	drug	0
993	D01447	drug	0
994	D01448	drug	0
995	D01450	drug	0
